vehicle_age,engine_cc,vehicle_value,safety_features,anti_theft,fuel_type,driver_age,driving_experience,license_age,previous_accidents,previous_claims,traffic_violations,usage_type,annual_mileage,previous_insurance,policy_lapses,claim_occurred
4,1000,4268022,0,0,0,39,21,20,0,0,0,1,55995,1,0,0
9,1200,2786973,1,1,4,54,33,32,0,0,1,3,55431,1,0,0
6,1200,2088663,1,1,4,27,8,7,0,2,1,2,36326,1,0,1
8,1200,3067333,0,0,1,25,3,2,0,1,0,0,13554,1,0,1
6,1200,2732414,0,0,2,46,27,26,2,0,2,0,32787,1,0,1
8,800,1423124,0,0,0,31,13,12,0,3,0,4,52828,0,1,1
7,1500,2561879,1,1,0,28,10,10,0,0,0,4,56416,1,0,0
11,1200,4598623,1,1,4,47,28,27,1,0,1,0,4599,1,1,0
1,1000,4679952,1,0,0,50,32,31,1,0,0,1,3653,1,0,0
0,2000,2477218,1,0,0,59,39,38,1,1,1,0,20251,0,0,0
15,2000,2643787,0,0,0,51,33,32,0,0,0,0,38084,1,0,0
4,1200,1131653,1,0,1,56,35,35,1,0,0,4,17245,1,0,0
2,1200,4319349,1,0,0,66,47,47,0,1,0,0,9461,1,0,0
11,1500,1978676,0,0,0,54,34,33,0,0,2,0,35375,1,0,0
7,1200,4586630,0,0,2,73,54,54,1,1,1,0,18448,1,0,1
2,1000,439972,0,0,1,59,41,41,1,1,1,0,48048,0,0,0
0,1500,2299565,0,0,1,54,34,34,1,1,0,0,53252,0,2,1
2,800,2630193,0,0,0,22,3,3,1,1,0,4,9286,0,0,1
4,800,1362467,1,0,0,58,40,39,1,0,0,0,54429,0,1,0
14,800,1195072,1,1,0,60,42,42,0,1,1,2,3609,1,1,0
13,1000,4116102,1,0,1,64,45,44,1,0,3,0,58832,1,0,0
2,800,3365827,1,0,1,22,3,2,0,0,1,0,26407,1,1,1
0,3000,3934412,0,1,1,34,15,15,0,1,2,0,2583,1,0,0
4,1200,3445523,1,1,0,36,16,16,0,1,1,0,14970,1,0,0
13,1000,1172231,1,0,3,63,43,42,0,0,1,0,47669,0,0,0
6,1000,515928,1,0,0,70,49,48,0,1,1,0,35809,1,1,0
8,2500,4214608,1,1,0,73,53,52,0,0,1,2,19530,1,0,0
14,1500,4533763,0,1,2,43,25,24,0,1,0,0,59127,1,0,1
14,1200,2142053,0,0,0,19,0,0,0,0,0,0,29709,1,0,0
9,2000,1653975,0,0,1,31,12,11,0,0,1,0,6858,1,0,0
12,1200,3184821,1,1,0,69,50,49,0,0,0,0,49118,0,0,0
18,1200,4546499,0,0,0,45,25,25,0,1,0,1,23956,1,0,1
6,1000,1728495,0,1,1,21,3,3,0,1,2,0,57355,1,0,1
16,1200,436365,0,0,0,20,0,0,0,0,2,3,48549,1,0,1
19,1200,3995290,0,1,0,32,13,13,0,0,0,0,39082,1,0,0
3,1500,1182961,0,0,1,39,17,16,0,0,0,0,55665,1,0,0
4,1200,973589,0,0,0,65,44,44,1,1,1,0,10098,1,0,0
6,1500,3943610,0,1,2,59,37,36,0,0,0,3,21672,1,2,1
12,800,4048863,0,0,2,67,45,44,0,0,2,0,7052,1,0,0
14,1000,618862,1,0,1,36,14,13,0,0,0,0,43018,1,0,0
10,1200,4300878,0,1,0,51,32,31,0,0,0,2,46417,1,0,0
3,2500,4737387,0,0,1,27,8,8,0,0,0,0,47823,1,0,0
12,1200,1219419,0,0,1,73,51,51,0,0,2,0,40550,0,0,0
6,1500,2404228,0,0,0,51,29,28,0,0,0,4,29796,1,0,0
18,1200,3788222,1,0,0,33,12,12,0,0,0,0,29140,0,0,0
1,1000,3237502,1,1,2,54,35,34,0,1,1,0,55627,0,1,0
9,800,1746585,1,1,0,53,31,31,0,0,1,2,3425,1,0,0
12,1200,3704768,0,0,1,66,48,47,0,0,0,0,49137,1,0,0
5,1000,1136960,1,0,0,62,43,42,0,0,1,0,54323,1,0,0
11,1000,679647,1,0,1,72,53,53,1,0,0,2,23101,1,0,0
11,2000,4561102,0,1,0,39,21,20,0,0,0,3,6581,1,1,1
19,800,2406471,0,1,3,49,27,27,0,1,0,1,33258,1,0,0
10,1500,3852138,0,1,0,61,41,40,0,1,0,0,29004,1,1,0
6,1200,712525,0,1,3,34,15,15,1,0,1,0,13058,1,0,0
0,1500,303468,0,0,0,26,4,4,2,1,0,0,43883,1,0,0
0,1500,3589451,0,0,1,69,51,50,0,0,0,0,57374,1,1,0
19,1200,3187993,0,0,2,50,32,31,0,0,0,4,36814,1,1,0
12,1200,366083,1,0,0,73,54,53,2,1,0,3,18088,1,0,0
8,1500,1582843,1,0,0,50,32,31,0,1,0,0,25184,1,0,0
2,2000,1109858,0,1,4,19,1,1,0,0,0,0,43344,1,0,0
6,1000,3238341,0,0,0,31,9,8,1,0,1,1,53226,1,1,1
5,800,4639812,0,0,1,54,36,36,0,0,0,2,16394,1,1,1
7,2000,1508610,1,0,0,50,30,30,0,0,0,2,20889,1,0,0
8,1200,2894140,1,1,1,18,0,0,2,0,1,0,35574,1,0,0
4,1500,3591723,0,0,0,64,42,41,0,0,0,1,7941,1,0,0
0,1200,4430018,1,0,1,39,20,20,0,0,0,1,12953,1,0,0
18,1000,4484052,1,0,0,47,25,25,0,0,1,0,25391,1,1,0
9,1500,1667089,1,1,1,44,25,24,0,0,0,2,21381,1,0,0
11,1500,1677123,1,0,0,50,32,32,0,0,0,1,10148,1,0,0
14,1000,3432113,0,1,1,70,49,49,0,0,0,0,49943,1,0,0
8,1200,4801661,0,0,0,33,13,12,1,1,1,0,46657,1,0,1
19,2000,4592935,0,1,0,27,7,6,0,0,0,0,5601,1,0,1
16,1500,4330322,0,1,1,44,26,26,1,0,0,3,58580,1,0,1
16,800,609982,0,0,0,54,33,33,1,0,0,0,10109,1,0,0
19,1500,1601112,0,0,3,19,0,0,0,0,2,4,50758,1,0,1
11,1500,2309414,1,0,1,47,26,26,2,0,1,2,51621,0,0,0
6,2000,2803525,1,1,1,63,41,40,2,1,0,3,55325,1,0,1
1,1500,4089040,0,0,0,60,38,38,1,1,0,1,42543,1,1,1
2,1000,4226719,1,0,1,36,14,13,0,1,0,0,42815,1,0,1
16,1500,4852404,0,0,0,36,15,14,0,0,1,0,24943,1,0,0
4,1500,1556919,1,1,2,68,50,50,0,0,0,1,29723,1,0,0
16,800,1862266,0,0,0,52,30,29,0,0,1,3,41805,0,0,1
16,1200,2403884,0,0,0,28,10,9,0,0,0,2,45204,1,0,0
16,1200,2632582,1,0,0,69,47,47,1,0,0,0,21827,1,0,0
1,1500,2643480,1,0,4,49,31,31,0,0,0,0,20907,1,0,0
1,1000,3981327,0,0,1,33,15,14,0,0,0,1,41323,1,0,1
4,1500,1024629,1,1,0,34,16,15,0,0,0,0,24236,0,0,0
0,2500,4361667,1,0,4,46,27,27,0,1,0,0,47433,1,0,1
0,2000,3956861,0,0,0,37,16,15,0,0,0,0,37057,0,1,1
18,2500,732795,0,0,1,53,31,30,0,1,0,3,10417,1,0,0
1,3000,3650678,0,1,1,64,42,41,2,0,0,1,35589,1,0,0
11,800,2735296,1,0,2,41,22,21,0,0,0,0,39517,1,0,0
5,1500,1528162,1,1,0,60,42,41,1,0,0,0,20087,0,0,0
3,1200,310300,1,0,0,65,47,46,1,0,3,2,8351,1,0,0
10,2000,4035391,1,0,1,69,47,47,1,0,0,0,34468,1,1,0
16,1200,3218147,1,1,0,70,50,50,0,0,2,1,26154,1,1,0
5,3000,1790752,1,0,0,21,0,0,0,0,0,2,29021,0,0,0
4,1500,945515,0,1,1,22,0,0,0,1,1,0,25403,1,1,0
19,2000,690305,0,1,1,36,17,17,0,1,0,4,37846,1,0,0
1,800,2260315,0,0,0,65,47,47,0,0,0,1,48930,0,0,0
5,1000,2032026,0,1,0,68,47,46,0,1,0,1,17509,1,0,0
10,2000,4084703,1,0,0,41,19,19,0,0,1,0,35169,1,0,0
15,800,4470076,1,1,1,65,43,43,0,1,0,2,41413,1,1,0
15,2000,4510632,0,0,1,18,0,0,0,0,1,1,21164,1,0,1
0,800,719870,0,0,2,52,33,33,1,0,0,3,16679,1,0,0
8,1500,3353569,0,0,1,19,0,0,1,0,0,0,4439,1,0,1
5,1200,4846705,1,1,1,27,8,7,1,0,2,1,17842,1,0,1
15,1500,3988626,0,0,0,23,1,0,0,0,1,1,2866,0,0,1
2,1500,3372263,1,0,0,57,38,38,1,0,0,1,30074,1,0,0
19,1200,772374,1,0,1,55,34,34,0,0,0,2,3251,1,0,0
3,1000,459947,1,1,0,37,18,17,0,0,1,0,57422,0,0,0
18,800,3500810,0,0,4,36,14,14,1,1,0,1,2805,0,0,1
2,1500,847514,1,0,3,65,44,43,0,0,2,0,15897,1,0,0
18,1500,3211261,0,0,1,53,32,31,0,0,1,0,2950,1,1,0
19,1500,1646568,1,0,0,65,43,42,0,0,0,0,28289,1,0,0
6,1500,3832099,1,0,1,46,24,24,0,0,0,0,40576,1,0,0
19,1200,1150086,0,0,1,73,51,50,1,0,1,0,14521,0,0,0
8,1200,978794,1,0,1,58,38,37,0,0,0,0,25581,1,0,0
0,800,2503002,0,0,0,41,19,19,0,0,1,0,26975,0,0,0
7,1200,4488950,1,0,2,26,7,6,0,1,0,0,43573,1,0,0
6,3000,1284766,0,0,1,49,31,30,0,0,0,0,38950,0,0,0
17,2000,1166236,1,1,0,57,37,37,0,1,0,2,20254,1,0,0
7,1200,4147833,1,0,0,22,2,1,0,1,0,2,45717,1,0,1
0,1500,1177727,0,0,1,38,20,19,0,1,0,3,28566,0,0,0
10,2000,1335016,1,0,0,34,15,14,0,1,1,3,23198,1,0,0
17,1200,3111114,1,0,0,41,21,20,0,0,1,3,32658,0,0,1
9,800,4901284,0,1,0,44,24,23,1,0,1,3,12548,1,0,1
2,800,1225894,1,0,4,65,43,43,0,0,0,3,10623,1,0,0
6,1500,4524476,1,0,0,35,14,13,0,1,0,0,23886,0,1,0
15,2500,3831808,0,1,0,39,19,19,0,0,0,0,47005,0,0,0
15,1500,927800,0,1,0,23,4,3,1,0,1,1,21732,0,0,0
19,800,995902,1,1,1,45,24,24,0,0,2,3,46424,1,0,0
16,1000,3864780,0,1,1,59,41,40,1,0,0,0,24583,1,1,0
1,2000,3408746,0,0,2,37,17,17,0,0,0,3,54776,1,1,1
0,2000,3336319,1,1,1,74,55,55,2,1,1,0,31679,1,0,0
15,1500,961311,1,1,1,33,15,14,0,1,0,0,26362,1,0,0
11,1500,3723047,1,0,0,36,14,14,0,0,1,2,34370,0,1,0
4,800,2801395,0,1,1,25,3,2,0,0,0,1,51943,1,0,0
4,2000,3553537,1,0,0,35,14,14,0,0,0,3,56059,1,1,1
8,2000,2223625,0,1,1,54,36,36,0,0,0,1,31928,1,0,0
8,1200,967527,0,0,0,62,41,41,0,0,0,0,51683,0,0,0
2,1500,4910580,1,0,3,64,46,45,0,2,0,4,27506,1,1,0
18,1000,2524462,1,0,1,48,30,30,0,0,1,3,21618,1,0,0
15,800,1677276,0,0,1,55,33,32,0,1,0,4,31921,0,0,0
15,1000,3392037,1,0,1,19,0,0,0,1,2,2,12843,1,0,1
2,1000,1188580,1,0,1,72,50,50,0,1,0,3,47872,1,0,0
19,1200,4504789,0,1,1,49,31,31,0,0,0,0,34900,0,1,0
0,1200,1714466,1,1,0,32,10,10,0,0,1,1,50175,1,0,0
19,1500,2124682,1,0,0,28,7,7,0,0,0,0,40830,1,0,0
10,1200,2930242,1,1,0,22,1,0,1,0,0,0,52001,0,0,0
16,1200,2897192,1,0,0,59,40,39,0,0,0,3,18310,0,0,0
7,800,1119746,1,1,0,46,24,23,0,1,1,2,27800,1,1,0
3,1500,2127154,0,0,3,37,18,18,1,1,0,4,49173,0,0,1
5,1200,1265802,0,1,1,37,19,19,0,0,0,2,26134,1,1,0
7,1200,3421958,1,1,0,35,13,12,0,0,0,0,5438,0,0,0
19,2000,1827699,1,0,0,29,9,9,0,1,0,3,59600,1,0,1
2,1500,2183392,1,0,1,74,55,54,0,0,0,0,19022,1,0,0
15,2000,1164685,1,1,0,66,45,45,0,1,0,0,31661,1,0,0
2,1200,4426202,1,1,1,34,15,14,0,0,0,0,18661,1,0,0
17,1000,2530306,1,0,0,21,0,0,1,0,1,3,50224,1,0,1
13,1500,4417036,0,0,3,36,17,17,0,1,0,4,40819,1,0,1
17,1000,2554485,1,1,0,74,53,52,0,0,0,1,16320,0,0,0
1,1200,3455523,1,1,0,40,21,21,1,0,1,4,57924,0,0,1
2,800,4801757,1,0,4,44,25,25,2,1,2,1,29908,1,0,1
15,2000,3151076,1,1,0,67,47,47,0,0,0,4,16126,1,0,0
8,1000,3754207,0,0,0,69,51,50,0,0,0,0,49194,1,0,0
3,2500,4325047,1,1,0,70,49,48,0,0,0,4,43265,1,0,0
0,2000,797502,0,1,1,59,41,41,1,1,0,0,24967,0,0,0
3,1200,2132359,1,0,0,63,43,43,0,0,0,0,11068,0,1,0
0,1500,2823636,0,0,3,69,47,47,0,1,1,0,50127,1,0,0
13,1500,3111910,0,0,4,62,40,40,0,2,1,0,32163,1,0,0
15,2000,3043792,1,0,2,31,11,11,0,0,0,0,57521,1,0,1
19,1200,2761563,1,1,0,21,0,0,0,0,1,0,17267,0,0,0
7,2000,2058406,0,1,4,21,0,0,0,0,0,2,50212,1,0,1
6,1200,4604855,1,0,1,41,22,21,0,0,0,0,39902,1,0,0
2,2500,3526536,0,1,0,40,21,21,0,0,0,3,31556,0,1,1
16,1200,420469,1,0,0,53,34,34,0,0,0,3,54272,0,0,0
0,1200,2071571,1,1,1,28,8,7,0,0,1,2,48421,1,0,0
15,2000,3779794,1,1,1,50,28,27,1,0,0,4,24182,0,0,0
11,2000,4827322,0,1,0,55,37,36,0,0,0,0,31809,1,0,0
18,1500,2719657,1,0,1,22,1,0,0,2,0,4,50197,0,0,1
13,1000,1501048,1,0,4,44,22,21,0,0,0,0,57404,0,0,0
5,1200,1007593,0,0,0,54,34,34,1,0,0,0,52191,0,1,0
5,2500,3697401,1,0,0,44,25,25,0,0,0,0,35077,1,1,0
12,2000,4906852,1,0,4,48,27,27,2,0,0,1,41789,1,0,1
18,2000,3421365,1,1,0,29,8,7,0,1,1,0,24363,0,0,1
7,800,3828771,0,0,4,64,43,42,1,0,0,0,20589,1,0,0
1,1200,1461974,0,0,1,23,5,4,0,0,2,0,28085,1,0,0
0,1500,738598,1,0,0,29,10,10,0,0,1,0,29577,0,0,0
14,2000,4016145,1,0,0,73,54,53,0,1,2,3,40729,1,0,1
0,800,1951210,0,1,0,71,52,52,0,0,0,0,35858,1,0,0
4,2000,2699623,0,0,0,31,12,12,0,0,1,0,30968,1,1,0
15,1500,4478907,1,0,1,39,17,17,0,1,0,0,33598,1,1,1
18,1000,4644955,1,0,1,72,51,51,0,0,3,0,29921,1,0,0
3,1200,2942923,1,0,1,28,7,6,0,0,0,0,51749,1,0,0
2,1200,2205888,0,0,1,57,36,36,0,0,0,1,53262,1,0,0
16,1500,4503251,0,1,1,69,49,48,0,1,1,0,36204,0,0,0
16,800,4148664,1,1,4,56,37,37,0,1,0,1,30871,1,0,0
11,1000,3748788,1,0,1,73,51,50,0,0,0,0,26763,1,0,0
13,2000,2321242,1,0,4,55,33,33,1,0,1,0,8004,1,0,0
5,1000,773945,1,1,0,74,54,54,0,0,0,0,40343,0,0,0
2,1000,3046908,1,0,1,30,10,10,1,1,1,1,31826,1,0,1
8,1200,3905861,0,0,1,23,2,2,1,2,1,1,52697,1,0,1
4,1500,4745666,1,0,4,37,16,16,0,0,0,0,47880,1,0,0
16,2000,4763460,0,1,1,71,50,50,0,0,1,0,54294,1,0,1
13,1200,1363789,1,1,0,19,0,0,0,2,0,0,29877,0,1,1
2,2000,2293643,0,0,0,28,7,7,0,0,3,1,29126,1,1,0
0,1500,3541388,1,0,0,25,6,5,1,0,0,0,51147,1,0,0
19,1000,3243772,1,1,0,47,25,24,0,2,0,3,18102,1,0,1
0,1000,3718583,0,1,1,44,25,25,1,2,0,0,13666,1,0,1
2,1200,2361882,1,1,3,71,49,49,0,0,0,0,12125,0,1,0
17,1200,3695214,0,1,0,21,3,2,0,2,0,0,6384,1,0,1
9,1500,1855269,0,1,0,24,6,6,1,0,0,3,13131,0,0,1
2,1500,1071935,1,0,3,64,46,46,0,0,0,4,47422,1,1,0
7,1200,3424899,0,0,0,41,19,18,0,0,2,3,33835,1,0,0
13,1000,4291755,0,0,4,49,29,28,0,1,0,2,26531,1,1,1
17,1000,1796418,0,0,0,36,17,17,0,1,0,0,18363,0,0,0
14,1500,2668496,0,0,0,59,39,39,0,0,0,2,46224,1,0,0
1,1200,1005829,1,1,0,52,30,29,1,0,2,0,58281,1,0,0
9,1500,2026967,0,0,4,59,38,38,1,0,1,0,28569,1,0,0
1,1000,1482864,0,1,3,68,48,47,0,1,1,0,19439,1,0,0
16,1500,4597278,0,0,2,20,0,0,0,1,0,0,3008,0,0,1
7,2000,4913898,0,1,0,35,17,17,1,0,0,3,6255,1,0,1
0,1200,2498079,1,0,4,54,33,32,0,0,1,1,20963,1,0,0
8,1200,4835334,1,1,4,39,21,20,0,0,0,0,27340,1,0,0
10,3000,4781973,0,0,0,50,30,30,0,1,2,1,24051,1,0,1
15,1200,3867516,0,0,1,55,35,35,0,0,3,1,43437,0,0,0
6,1500,2973487,1,0,4,56,37,36,0,1,1,0,23281,0,0,0
9,800,419786,0,0,0,51,32,31,0,0,1,0,42992,1,0,0
2,1500,1763735,0,0,0,66,44,44,1,1,2,0,25573,1,0,0
17,800,4224584,0,0,3,40,20,20,0,0,1,0,21485,1,1,0
12,2500,4510044,0,0,1,71,53,53,1,0,0,4,54592,1,1,1
6,1500,4979501,0,1,4,52,33,33,1,0,1,3,9470,1,0,1
3,2000,2230410,0,1,1,46,28,28,0,0,3,0,16599,1,0,0
12,1500,3916098,0,1,0,19,0,0,1,0,3,0,29931,1,0,1
19,1500,3142784,1,0,1,67,49,49,0,0,0,0,56868,1,2,0
0,1200,600826,1,0,1,31,13,13,1,0,2,1,9240,1,1,0
7,2000,1993223,1,1,0,65,44,43,1,0,1,0,4988,0,0,0
13,2500,1504249,1,0,0,61,39,38,0,0,1,3,19528,1,0,0
15,1200,3216434,1,0,0,67,48,48,1,0,0,2,40095,0,0,0
13,2500,3486860,0,1,1,25,4,4,0,0,1,0,56199,1,0,1
11,1500,3582604,0,0,4,18,0,0,0,1,1,3,8107,1,0,1
18,1500,4747001,1,0,1,45,25,25,1,1,0,0,19334,1,0,1
14,1200,3006501,0,1,1,20,1,0,0,2,2,0,11536,1,0,1
1,1000,3752933,1,1,0,73,51,51,1,0,1,1,32308,0,0,0
1,800,716962,1,1,1,71,51,50,0,0,1,0,28353,1,0,0
18,1000,640492,0,0,1,24,4,3,1,0,0,1,58843,1,2,0
16,1500,3678188,1,1,1,51,31,30,1,0,1,0,31321,0,0,0
19,1200,2029272,0,1,3,65,43,43,0,2,2,0,45217,1,0,0
9,1200,2231004,1,1,1,49,29,29,0,0,0,4,41118,1,1,0
5,3000,3623943,1,1,4,26,7,7,0,1,1,3,20732,1,0,1
14,1200,3086832,0,0,2,72,53,53,0,1,1,3,47558,1,0,1
10,1200,2757407,1,0,0,52,33,32,0,0,1,0,56646,1,0,0
4,1000,2889496,0,1,1,74,53,52,0,1,0,2,25927,1,0,0
0,800,4489068,1,1,4,36,17,17,0,0,0,4,12483,0,1,0
7,2000,1909380,1,0,4,63,45,44,1,0,0,4,20038,1,0,0
11,1500,1539437,0,1,0,73,53,53,0,0,2,0,16159,1,0,0
11,2000,4354238,0,0,1,32,13,12,0,0,1,0,44824,0,0,1
4,1000,361240,1,0,0,72,50,50,1,0,1,0,15148,0,0,0
6,1500,1652518,1,0,0,48,26,26,2,1,0,3,39199,1,1,1
3,1200,2846288,0,0,3,33,11,10,0,0,0,0,31645,1,0,0
5,1000,4479881,1,0,4,68,47,46,0,0,0,2,4535,1,0,0
12,800,2593550,1,1,1,64,42,42,1,0,0,0,49867,1,0,0
19,1000,4095827,0,0,0,63,42,41,1,0,0,2,48373,1,1,1
14,1200,4436363,0,0,2,54,34,33,1,0,2,0,19056,1,0,0
2,1000,3555534,1,1,1,24,6,6,0,0,1,3,26429,0,0,0
7,3000,4071225,1,0,0,52,30,30,0,1,0,2,28172,1,1,1
19,1200,2231886,0,1,0,46,24,24,1,2,1,0,47784,0,0,1
15,1000,4947001,0,1,0,19,0,0,0,0,1,3,23206,0,1,1
12,1000,3902816,0,0,1,74,53,53,0,1,0,0,40854,1,0,0
17,1500,1426350,1,1,0,65,47,47,1,0,1,2,36350,0,0,0
9,800,2687082,1,1,0,51,32,32,2,0,0,3,10032,1,0,0
18,2000,1968068,1,1,4,52,31,31,0,0,0,3,40662,1,0,0
16,2500,2590869,1,0,4,48,30,30,1,1,1,0,42458,1,0,1
18,1000,3989666,1,0,0,29,9,9,0,2,0,0,43937,1,0,1
4,1200,4897369,1,0,0,18,0,0,0,0,0,0,13978,1,0,1
8,800,3141561,0,1,1,64,42,41,0,0,0,0,39204,1,0,0
